len,segNum,time(ms)
187,9,1
187,19,2
187,29,1
187,39,0
187,49,0
187,59,0
187,68,0
187,78,1
187,88,0
187,98,0
187,108,0
187,118,0
187,127,1
187,137,0
187,147,0
187,157,0
187,167,0
187,177,0
187,187,0
374,19,4
374,39,3
374,59,2
374,78,4
374,98,3
374,118,3
374,137,0
374,157,0
374,177,1
374,196,1
374,216,2
374,236,1
374,255,0
374,275,0
374,295,1
374,314,0
374,334,1
374,354,0
374,374,0
561,29,6
561,59,5
561,88,3
561,118,1
561,147,3
561,177,3
561,206,1
561,236,1
561,265,0
561,295,1
561,324,0
561,354,1
561,383,1
561,413,0
561,442,0
561,472,2
561,501,2
561,531,1
561,561,1
748,39,11
748,78,7
748,118,5
748,157,2
748,196,2
748,236,3
748,275,2
748,314,4
748,354,2
748,393,1
748,433,1
748,472,3
748,511,1
748,551,0
748,590,0
748,629,1
748,669,1
748,708,1
748,748,0
935,49,11
935,98,6
935,147,6
935,196,6
935,246,5
935,295,0
935,344,3
935,393,2
935,442,2
935,492,0
935,541,1
935,590,4
935,639,1
935,688,1
935,738,1
935,787,0
935,836,0
935,885,1
935,935,1
1122,59,15
1122,118,8
1122,177,8
1122,236,6
1122,295,4
1122,354,3
1122,413,4
1122,472,3
1122,531,2
1122,590,1
1122,649,2
1122,708,2
1122,767,0
1122,826,1
1122,885,2
1122,944,1
1122,1003,2
1122,1062,0
1122,1122,0
1309,68,16
1309,137,11
1309,206,7
1309,275,7
1309,344,5
1309,413,5
1309,482,2
1309,551,4
1309,620,3
1309,688,3
1309,757,3
1309,826,1
1309,895,3
1309,964,4
1309,1033,3
1309,1102,2
1309,1171,2
1309,1240,4
1309,1309,0
1496,78,16
1496,157,9
1496,236,8
1496,314,6
1496,393,5
1496,472,5
1496,551,10
1496,629,5
1496,708,3
1496,787,5
1496,866,4
1496,944,3
1496,1023,0
1496,1102,3
1496,1181,1
1496,1259,2
1496,1338,4
1496,1417,2
1496,1496,2
1683,88,20
1683,177,13
1683,265,9
1683,354,8
1683,442,6
1683,531,7
1683,620,4
1683,708,4
1683,797,3
1683,885,3
1683,974,1
1683,1062,1
1683,1151,1
1683,1240,3
1683,1328,3
1683,1417,0
1683,1505,1
1683,1594,0
1683,1683,4
1870,98,20
1870,196,15
1870,295,13
1870,393,9
1870,492,7
1870,590,8
1870,688,5
1870,787,7
1870,885,3
1870,984,4
1870,1082,5
1870,1181,4
1870,1279,1
1870,1377,1
1870,1476,2
1870,1574,0
1870,1673,2
1870,1771,1
1870,1870,1
2057,108,24
2057,216,16
2057,324,14
2057,433,11
2057,541,13
2057,649,8
