len,segNum,time(ms)
187,9,2
187,19,0
187,29,1
187,39,0
187,49,1
187,59,1
187,68,1
187,78,0
187,88,0
187,98,0
187,108,0
187,118,1
187,127,1
187,137,0
187,147,0
187,157,0
187,167,0
187,177,0
187,187,0
374,19,3
374,39,2
374,59,1
374,78,3
374,98,2
374,118,0
374,137,0
374,157,1
374,177,0
374,196,0
374,216,1
374,236,0
374,255,1
374,275,0
374,295,0
374,314,0
374,334,0
374,354,0
374,374,0
561,29,7
561,59,3
561,88,3
561,118,4
561,147,2
561,177,0
561,206,3
561,236,1
561,265,0
561,295,1
561,324,1
561,354,1
561,383,0
561,413,0
561,442,0
561,472,4
561,501,0
561,531,0
561,561,0
748,39,9
748,78,5
748,118,4
748,157,3
748,196,3
748,236,2
748,275,4
748,314,4
748,354,1
748,393,2
748,433,1
748,472,2
748,511,0
748,551,4
748,590,4
748,629,0
748,669,0
748,708,0
748,748,0
935,49,8
935,98,7
935,147,7
935,196,2
935,246,4
935,295,1
935,344,7
935,393,2
935,442,3
935,492,1
935,541,1
935,590,2
935,639,0
935,688,0
935,738,1
935,787,1
935,836,0
935,885,0
935,935,0
1122,59,12
1122,118,7
1122,177,8
1122,236,3
1122,295,5
1122,354,2
1122,413,1
1122,472,4
1122,531,3
1122,590,2
1122,649,5
1122,708,0
1122,767,3
1122,826,3
1122,885,0
1122,944,2
1122,1003,2
1122,1062,0
1122,1122,0
1309,68,13
1309,137,10
1309,206,6
1309,275,4
1309,344,6
1309,413,2
1309,482,5
1309,551,5
1309,620,3
1309,688,2
1309,757,1
1309,826,2
1309,895,1
1309,964,2
1309,1033,1
1309,1102,0
1309,1171,1
1309,1240,0
1309,1309,2
1496,78,15
1496,157,11
1496,236,10
1496,314,6
1496,393,10
1496,472,7
1496,551,5
1496,629,4
1496,708,5
1496,787,3
1496,866,4
1496,944,4
1496,1023,3
1496,1102,2
1496,1181,2
1496,1259,0
1496,1338,3
1496,1417,1
1496,1496,1
1683,88,14
1683,177,14
1683,265,9
1683,354,8
1683,442,7
1683,531,7
1683,620,6
1683,708,3
1683,797,6
1683,885,4
1683,974,3
1683,1062,3
1683,1151,0
1683,1240,1
1683,1328,4
1683,1417,0
1683,1505,2
1683,1594,1
1683,1683,1
1870,98,18
1870,196,15
1870,295,14
1870,393,9
1870,492,8
1870,590,8
1870,688,8
1870,787,3
1870,885,4
1870,984,5
1870,1082,3
1870,1181,2
1870,1279,8
1870,1377,2
1870,1476,0
1870,1574,6
1870,1673,1
1870,1771,1
1870,1870,1
2057,108,20
2057,216,15
2057,324,14
2057,433,11
2057,541,13
2057,649,11
2057,757,9
2057,866,5
2057,974,5
2057,1082,6
2057,1190,5
2057,1299,7
2057,1407,6
2057,1515,1
2057,1623,2
2057,1732,0
2057,1840,3
2057,1948,0
2057,2057,0
2244,118,25
2244,236,17
2244,354,13
2244,472,16
2244,590,13
2244,708,7
2244,826,8
2244,944,5
2244,1062,7
2244,1181,8
2244,1299,7
2244,1417,4
2244,1535,3
2244,1653,5
2244,1771,4
2244,1889,0
2244,2007,1
2244,2125,0
2244,2244,2
2431,127,20
2431,255,18
2431,383,14
2431,511,11
2431,639,17
2431,767,10
2431,895,10
2431,1023,7
2431,1151,7
2431,1279,5
2431,1407,6
2431,1535,5
2431,1663,0
2431,1791,4
2431,1919,6
2431,2047,2
2431,2175,1
2431,2303,2
2431,2431,1
2618,137,31
2618,275,19
2618,413,14
2618,551,13
2618,688,14
2618,826,14
2618,964,9
2618,1102,8
2618,1240,3
2618,1377,6
2618,1515,6
2618,1653,0
2618,1791,5
2618,1929,3
2618,2066,5
2618,2204,5
2618,2342,0
2618,2480,0
2618,2618,0
2805,147,30
2805,295,19
2805,442,20
2805,590,18
2805,738,14
2805,885,10
2805,1033,18
2805,1181,11
2805,1328,7
2805,1476,7
2805,1623,0
2805,1771,5
2805,1919,1
2805,2066,5
2805,2214,3
2805,2362,3
2805,2509,2
2805,2657,1
2805,2805,0
2992,157,32
2992,314,21
2992,472,19
2992,629,15
2992,787,13
2992,944,16
2992,1102,10
2992,1259,14
2992,1417,9
2992,1574,6
2992,1732,6
2992,1889,4
2992,2047,3
2992,2204,2
2992,2362,3
2992,2519,3
2992,2677,2
2992,2834,1
2992,2992,0
3179,167,30
3179,334,19
3179,501,21
3179,669,17
3179,836,14
3179,1003,12
3179,1171,11
3179,1338,10
3179,1505,8
3179,1673,0
3179,1840,12
3179,2007,8
3179,2175,5
3179,2342,1
3179,2509,5
3179,2677,2
3179,2844,0
3179,3011,1
3179,3179,2
3366,177,29
3366,354,25
3366,531,20
3366,708,18
3366,885,15
3366,1062,13
3366,1240,7
3366,1417,8
3366,1594,13
3366,1771,10
3366,1948,6
3366,2125,11
3366,2303,8
3366,2480,5
3366,2657,1
3366,2834,6
3366,3011,3
3366,3188,3
3366,3366,1
3553,187,31
3553,374,26
3553,561,22
3553,748,22
3553,935,14
3553,1122,20
3553,1309,11
3553,1496,11
3553,1683,10
3553,1870,11
3553,2057,5
3553,2244,5
3553,2431,4
3553,2618,6
3553,2805,3
3553,2992,5
3553,3179,2
3553,3366,2
