len,segNum,time(ms)
187,9,0
187,19,1
187,29,1
187,39,1
187,49,0
187,59,1
187,68,1
187,78,0
187,88,0
187,98,1
187,108,0
187,118,0
187,127,0
187,137,1
187,147,0
187,157,1
187,167,0
187,177,0
187,187,0
374,19,3
374,39,1
374,59,2
374,78,1
374,98,1
374,118,1
374,137,0
374,157,0
374,177,0
374,196,1
374,216,1
374,236,0
374,255,2
374,275,0
374,295,0
374,314,0
374,334,1
374,354,0
374,374,0
561,29,2
561,59,3
561,88,4
561,118,2
561,147,4
561,177,1
561,206,1
561,236,4
561,265,0
561,295,3
561,324,2
561,354,0
561,383,0
561,413,1
561,442,0
561,472,0
561,501,0
561,531,0
561,561,0
748,39,7
748,78,4
748,118,3
748,157,3
748,196,0
748,236,1
748,275,2
748,314,2
748,354,0
748,393,1
748,433,0
748,472,3
748,511,0
748,551,1
748,590,4
748,629,2
748,669,0
748,708,0
748,748,0
935,49,9
935,98,6
935,147,5
935,196,4
935,246,6
935,295,4
935,344,2
935,393,2
935,442,1
935,492,1
935,541,0
935,590,2
935,639,0
935,688,1
935,738,0
935,787,0
935,836,0
935,885,1
935,935,0
1122,59,9
1122,118,5
1122,177,6
1122,236,3
1122,295,2
1122,354,5
1122,413,4
1122,472,3
1122,531,3
1122,590,2
1122,649,3
1122,708,4
1122,767,2
1122,826,1
1122,885,2
1122,944,1
1122,1003,1
1122,1062,0
1122,1122,0
1309,68,12
1309,137,7
1309,206,9
1309,275,5
1309,344,4
1309,413,5
1309,482,0
1309,551,1
1309,620,5
1309,688,2
1309,757,1
1309,826,3
1309,895,3
1309,964,1
1309,1033,1
1309,1102,2
1309,1171,2
1309,1240,0
1309,1309,0
1496,78,14
1496,157,10
1496,236,6
1496,314,11
1496,393,6
1496,472,6
1496,551,0
1496,629,5
1496,708,6
1496,787,3
1496,866,0
1496,944,6
1496,1023,2
1496,1102,1
1496,1181,1
1496,1259,1
1496,1338,0
1496,1417,3
1496,1496,0
1683,88,18
1683,177,12
1683,265,8
1683,354,13
1683,442,3
1683,531,7
1683,620,5
1683,708,3
1683,797,5
1683,885,3
1683,974,2
1683,1062,2
1683,1151,2
1683,1240,3
1683,1328,0
1683,1417,2
1683,1505,2
1683,1594,2
1683,1683,1
1870,98,17
1870,196,14
1870,295,11
1870,393,7
1870,492,5
1870,590,11
1870,688,4
1870,787,4
1870,885,4
1870,984,3
1870,1082,3
1870,1181,3
1870,1279,5
1870,1377,2
1870,1476,0
1870,1574,1
1870,1673,0
1870,1771,1
1870,1870,1
2057,108,18
2057,216,13
2057,324,9
2057,433,9
2057,541,10
2057,649,8
2057,757,5
2057,866,6
2057,974,3
2057,1082,3
2057,1190,5
2057,1299,6
2057,1407,3
2057,1515,2
2057,1623,1
2057,1732,0
2057,1840,3
2057,1948,0
2057,2057,2
2244,118,23
2244,236,15
2244,354,13
2244,472,5
2244,590,10
2244,708,6
2244,826,5
2244,944,7
2244,1062,8
2244,1181,5
2244,1299,4
2244,1417,4
2244,1535,2
2244,1653,2
2244,1771,4
2244,1889,5
2244,2007,1
2244,2125,0
2244,2244,1
2431,127,25
2431,255,21
2431,383,15
2431,511,10
2431,639,9
2431,767,8
2431,895,10
2431,1023,5
2431,1151,8
2431,1279,5
2431,1407,6
2431,1535,3
2431,1663,2
2431,1791,3
2431,1919,2
2431,2047,4
2431,2175,2
2431,2303,2
2431,2431,0
2618,137,25
2618,275,20
2618,413,15
2618,551,12
2618,688,15
2618,826,11
2618,964,10
2618,1102,3
2618,1240,8
2618,1377,4
2618,1515,3
2618,1653,5
2618,1791,4
2618,1929,1
2618,2066,4
2618,2204,2
2618,2342,2
2618,2480,1
